CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function
10410,Bad choice of lock object,High,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Unreliable locking behavior,/api/src/test/java/org/openmrs/scheduler/SchedulerServiceTest.java,SchedulerServiceTest.shouldNotAllowTaskExecuteToRunBeforeInitializationIsComplete
10407,Resource leak,High,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/web/src/main/java/org/openmrs/web/filter/util/CustomResourceLoader.java,CustomResourceLoader.CustomResourceLoader
10394,Resource leak,High,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/api/src/main/java/org/openmrs/util/databasechange/DuplicateLocationAttributeTypeNameChangeSet.java,DuplicateLocationAttributeTypeNameChangeSet.execute
10390,Resource leak,High,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/web/src/main/java/org/openmrs/web/filter/util/FilterUtil.java,FilterUtil.readSystemDefaultLocale
10389,Resource leak,High,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/api/src/main/java/org/openmrs/module/ModuleUtil.java,ModuleUtil.startup
10387,Resource leak,High,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/api/src/main/java/org/openmrs/util/databasechange/MigrateAllergiesChangeSet.java,MigrateAllergiesChangeSet.getConceptByGlobalProperty
10367,Resource leak,High,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/api/src/main/java/org/openmrs/util/databasechange/BooleanConceptChangeSet.java,BooleanConceptChangeSet.createConcept
10356,Resource leak,High,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/api/src/main/java/org/openmrs/util/databasechange/MoveDeletedHL7sChangeSet.java,MoveDeletedHL7sChangeSet.execute
10343,Bad choice of lock object,High,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Unreliable locking behavior,/api/src/test/java/org/openmrs/scheduler/SchedulerServiceTest.java,SchedulerServiceTest.shouldNotThrowExceptionWhenTaskDefinitionIsNull
10333,Resource leak,High,New,10/19/2018,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/web/src/main/java/org/openmrs/web/filter/initialization/InitializationFilter.java,InitializationFilter.isDatabaseEmpty
